species,plant_functional_type,gm,An,gs_CO2,T_mesophyll,T_leaf,fias_mesophyll,Cistar_infered,L_infered,Ci_infered,g_ias,gm_,gs,dgm_,dgs,dg_ias,gamma,dgamma_low,dgamma_high,tau,dtau_low,dtau_high
Macadamia integrifolia,evergreen angiosperms,0.108,9.5,0.088,256.0,283.0,0.38,40,256.0,207.8,1.3500569866159615,0.056615017878426696,0.088,0.0216,0.0176,0.2700113973231923,0.13815480496539764,0.03915760932219178,0.03934045533634295,0.30098531209335,0.0607595684989099,0.06487924510165682
Metasequoia glyptostroboides,deciduous gymnosperms,0.063,8.64,0.078,232.3,247.4,0.29,40,232.3,249.23076923076923,1.1354218760492214,0.04129411764705883,0.078,0.0126,0.015600000000000001,0.22708437520984429,0.14351244107600564,0.03660235864549498,0.03499968603050249,0.27452687196781206,0.04995711670166031,0.05262479006944554
Metasequoia glyptostroboides,deciduous gymnosperms,0.058,8.64,0.078,232.3,247.4,0.29,40,232.3,249.23076923076923,1.1354218760492214,0.04129411764705883,0.078,0.011600000000000001,0.015600000000000001,0.22708437520984429,0.14152897372389567,0.042056529746424876,0.040594905926484987,0.27226944588423935,0.04888054604445852,0.045561298901247826
Nicotiana sylvestris,C3 annual herbaceous,0.12,12.6,0.152,191.9,235.6,0.302,40,191.9,296.6,1.4313321871212146,0.04910366328916601,0.152,0.024,0.0304,0.2862664374242429,0.22476254501938808,0.06183234661012929,0.0619774986587473,0.26254947744045626,0.07546615908172555,0.07090989867844488
Olea europaea,evergreen angiosperms,0.141,13.9,0.042,269.0,310.0,0.6,40,269.0,243.0,2.0286514688340023,0.0684729064039409,0.042,0.0282,0.008400000000000001,0.4057302937668005,0.04290052869710142,0.011636837438752552,0.011041631389778317,0.2610613831383347,0.060318664048954695,0.059274603288330174
Oryza alta,C3 perennial herbaceous,0.112,17.45,0.263,,74.1,0.25,40,62.98499999999999,288.6,3.6100344335711325,0.07019308125502814,0.263,0.022400000000000003,0.05260000000000001,0.7220068867142265,0.15276392203907466,0.044144019551009564,0.04239855594858705,0.1988646096340507,0.0407699992376519,0.04178929268026621
Oryza australiensis,C3 perennial herbaceous,0.204,22.45,0.244,,125.3,0.28,40,106.505,259.2,2.391093198012254,0.10241788321167883,0.244,0.0408,0.0488,0.4782186396024508,0.21675679789723484,0.06269689771577072,0.06414696064504838,0.2974771913903242,0.06848006480405441,0.061663540595156996
Oryza australiensis,C3 perennial herbaceous,0.369,22.3,0.181,,115.6,0.234,40,98.25999999999999,226.6,2.16594571133091,0.11950696677384781,0.181,0.0738,0.0362,0.433189142266182,0.173361863206333,0.045248427160634735,0.0484973666784185,0.35026820783813556,0.10493640368207324,0.11522265105752866
Oryza barthii,C3 annual herbaceous,0.103,21.64,0.221,,91.5,0.204,40,77.77499999999999,257.6,2.38560544313157,0.0994485294117647,0.221,0.0206,0.0442,0.477121088626314,0.19597848380561755,0.054400809152874346,0.054505277836588095,0.295736151824668,0.04573642108799142,0.050360292130668505
Oryza brachyantha,C3 annual herbaceous,0.045,9.65,0.124,,57.8,0.158,40,49.129999999999995,302.3,2.924952328122084,0.03678993518871521,0.124,0.009,0.024800000000000003,0.5849904656244168,0.08845295937146591,0.02530039778540108,0.0233338531441825,0.1591403510852328,0.025451239494458044,0.026159354976236227
Oryza coarctata,C3 perennial herbaceous,0.034,10.51,0.082,,113.1,0.215,40,96.13499999999999,238.6,2.0340676773983555,0.052920443101711984,0.082,0.0068000000000000005,0.0164,0.40681353547967114,0.08375424545772665,0.02242590975810351,0.023089459183404062,0.23095477249823243,0.026269633448530172,0.02493909992551424
Oryza glaberrima,C3 annual herbaceous,0.266,27.09,0.232,,85.2,0.207,40,72.42,264.6,2.599682402169836,0.12061442564559215,0.232,0.053200000000000004,0.046400000000000004,0.5199364804339672,0.18380206814165764,0.04832041241407145,0.04409598301967951,0.30981970504201384,0.07363430381559996,0.07530349336064035
